creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date
kv-hero,120245555852540197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120245555852540197_120245555852540197_facebook_9.jpeg,,37410689,165363.0,"R$ 390.568,41",09/01/2026,10/02/2026
kv-gb-preco-v4,120226028578400197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120226028578400197_120226028578400197_facebook_9.jpeg,,37226143,166882.0,"R$ 377.628,14",09/04/2025,19/06/2025
facebook,120208207118360197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120208207118360197_120208207118360197_facebook_9.jpeg,,36954401,120640.0,"R$ 366.527,25",07/02/2024,03/04/2024
facebook,23860422884750196,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_23860422884750196_23860422884750196_facebook_9.jpeg,,36197842,90154.0,"R$ 366.028,06",18/09/2023,06/10/2023
facebook,120208750199040197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120208750199040197_120208750199040197_facebook_9.jpeg,,35475440,119136.0,"R$ 359.815,22",19/02/2024,04/04/2024
meta,120213303027130409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120213303027130409_120213303027130409_facebook_9.jpeg,,34892333,58629.0,"R$ 359.055,06",16/07/2024,24/09/2024
facebook,120213571388610197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120213571388610197_120213571388610197_facebook_9.jpeg,,34833087,93434.0,"R$ 355.373,57",03/06/2024,25/07/2024
facebook,120215503603970197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120215503603970197_120215503603970197_facebook_9.jpeg,,34536337,104229.0,"R$ 355.266,93",02/09/2024,14/09/2024
hero-mensagem-chegou,120218766915110409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120218766915110409_120218766915110409_facebook_9.jpeg,,34500194,22077.0,"R$ 344.762,52",10/02/2025,01/05/2025
kv-custo-beneficio-v2,120243634641270197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120243634641270197_120243634641270197_facebook_9.jpeg,,34454578,141233.0,"R$ 338.842,78",03/12/2025,10/01/2026
kv-gb-preco,120238637064710197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120238637064710197_120238637064710197_facebook_9.jpeg,,33971679,115251.0,"R$ 336.748,91",19/09/2025,01/11/2025
kv-portabilidade,120238596342780197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120238596342780197_120238596342780197_facebook_9.jpeg,,33311990,118973.0,"R$ 331.007,06",19/09/2025,31/10/2025
meta,23860547120460408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23860547120460408_23860547120460408_facebook_9.jpeg,,32904743,3180.0,"R$ 324.980,03",22/09/2023,06/01/2024
facebook,120204028881700197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120204028881700197_120204028881700197_facebook_9.jpeg,,32855074,109694.0,"R$ 321.593,40",01/12/2023,08/02/2024
pracas-cobertura,23853529625290408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23853529625290408_23853529625290408_facebook_9.jpeg,,32758285,124670.0,"R$ 319.289,32",16/01/2023,18/06/2023
interesses-relacionados,120210006065220750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120210006065220750_120210006065220750_facebook_9.jpeg,,31420516,10611.0,"R$ 309.423,16",26/04/2024,11/05/2024
demografica,120211265363360439,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1640492266333423_120211265363360439_120211265363360439_facebook_9.jpeg,,31350124,34105.0,"R$ 307.342,95",02/06/2024,19/08/2024
btl,120219823107070197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120219823107070197_120219823107070197_facebook_9.jpeg,,30807756,89621.0,"R$ 287.162,45",03/02/2025,09/04/2025
hero-mensagem-chegou,120218764639210409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120218764639210409_120218764639210409_facebook_9.jpeg,,30719751,20648.0,"R$ 287.121,51",10/02/2025,01/05/2025
kv-fitness,120228143445590197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120228143445590197_120228143445590197_facebook_9.jpeg,,30502428,151179.0,"R$ 286.772,31",01/05/2025,07/06/2025
as-25-interesses,120214967377250750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120214967377250750_120214967377250750_facebook_9.jpeg,,30116697,12948.0,"R$ 286.019,68",01/11/2024,19/11/2024
30gb-64m,120208209720180197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120208209720180197_120208209720180197_facebook_9.jpeg,,30068966,122787.0,"R$ 285.979,67",07/02/2024,19/04/2024
kv-chip-gratis-bbb,120246151939850197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120246151939850197_120246151939850197_facebook_9.jpeg,,29613646,149436.0,"R$ 285.200,05",21/01/2026,10/02/2026
mion-mostrando|ultravelocidade|whats-app|chame-no-whats,120212594114480409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120212594114480409_120212594114480409_facebook_9.jpeg,,29327235,175667.0,"R$ 261.977,01",14/06/2024,17/05/2025
demografico-e-interesses,120208120106230750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120208120106230750_120208120106230750_facebook_9.jpeg,,28855495,31341.0,"R$ 261.959,80",06/03/2024,13/03/2024
btl,120217050759200197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120217050759200197_120217050759200197_facebook_9.jpeg,,28451490,145484.0,"R$ 259.742,82",01/11/2024,11/12/2024
oferta-bonus,120207030098060409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120207030098060409_120207030098060409_facebook_9.jpeg,,28300702,86483.0,"R$ 257.467,55",05/02/2024,11/06/2024
