creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date,filename,category
kv-gb-preco,120245593150120197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120245593150120197_120245593150120197_facebook_9.jpeg,,821739,9473.0,"R$ 6.308,14",10/01/2026,10/02/2026,1008236073176348_120245593150120197_120245593150120197_facebook_9.jpeg,
,120214220622440348,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/557249762645654_120214220622440348_120214220622440348_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/557249762645654_120214220622440348_120214220622440348_facebook_9.mp4,821707,1159.0,"R$ 6.301,60",01/06/2024,05/06/2024,557249762645654_120214220622440348_120214220622440348_facebook_9.jpg,
iza-joia|oferta|flash-sale-recarga-whatsapp|recarregue-agora,120237420689670370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5006651156112143_120237420689670370_120237420689670370_facebook_9.jpeg,,820248,4466.0,"R$ 6.299,70",07/08/2025,22/08/2025,5006651156112143_120237420689670370_120237420689670370_facebook_9.jpeg,
meta,23855717172860408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23855717172860408_23855717172860408_facebook_9.jpeg,,819111,1258.0,"R$ 6.291,05",02/06/2023,02/08/2023,707505037025219_23855717172860408_23855717172860408_facebook_9.jpeg,
kv-hero,120232012852070197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120232012852070197_120232012852070197_facebook_9.jpeg,,818758,5118.0,"R$ 6.286,08",18/06/2025,21/08/2025,1008236073176348_120232012852070197_120232012852070197_facebook_9.jpeg,
1gb-a,120208632618380409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120208632618380409_120208632618380409_facebook_9.jpeg,,817927,2315.0,"R$ 6.282,91",05/03/2024,01/04/2024,707505037025219_120208632618380409_120208632618380409_facebook_9.jpeg,
podcast-corte2-techtimep4,120237740545990348,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/557249762645654_120237740545990348_120237740545990348_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/557249762645654_120237740545990348_120237740545990348_facebook_9.mp4,817296,2295.0,"R$ 6.268,81",22/08/2025,28/08/2025,557249762645654_120237740545990348_120237740545990348_facebook_9.jpg,
kv-5g-v2,120236624228700197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120236624228700197_120236624228700197_facebook_9.jpeg,,817182,5456.0,"R$ 6.265,06",20/08/2025,20/09/2025,1008236073176348_120236624228700197_120236624228700197_facebook_9.jpeg,
maes-kv-hero,120226960508990197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120226960508990197_120226960508990197_facebook_9.jpeg,,815607,5424.0,"R$ 6.263,08",16/04/2025,01/05/2025,1008236073176348_120226960508990197_120226960508990197_facebook_9.jpeg,
oferta,120239795824560370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5006651156112143_120239795824560370_120239795824560370_facebook_9.jpeg,,814952,868.0,"R$ 6.248,99",18/09/2025,30/09/2025,5006651156112143_120239795824560370_120239795824560370_facebook_9.jpeg,
hero,120222006893350409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120222006893350409_120222006893350409_facebook_9.jpeg,,813943,525.0,"R$ 6.239,28",01/04/2025,05/05/2025,707505037025219_120222006893350409_120222006893350409_facebook_9.jpeg,
kv-hero,120232993956730197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120232993956730197_120232993956730197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120232993956730197_120232993956730197_facebook_9.mp4,813461,19136.0,"R$ 6.212,55",01/07/2025,15/07/2025,1008236073176348_120232993956730197_120232993956730197_facebook_9.jpg,
flash-sale,23860453782290408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23860453782290408_23860453782290408_facebook_9.jpeg,,813439,2963.0,"R$ 6.208,58",25/09/2023,05/02/2024,707505037025219_23860453782290408_23860453782290408_facebook_9.jpeg,
dia-2-manda-bem,120246328455370197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120246328455370197_120246328455370197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120246328455370197_120246328455370197_facebook_9.mp4,813343,14.0,"R$ 6.204,32",25/01/2026,26/01/2026,1008236073176348_120246328455370197_120246328455370197_facebook_9.jpg,
meta,23855483487930408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23855483487930408_23855483487930408_facebook_9.jpeg,,813007,4819.0,"R$ 6.200,07",25/05/2023,25/07/2023,707505037025219_23855483487930408_23855483487930408_facebook_9.jpeg,
mion-venha|oferta-imperdivel|mes-do-consumidor|contrate,120220808408680409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120220808408680409_120220808408680409_facebook_9.jpeg,,812976,3121.0,"R$ 6.197,48",10/03/2025,17/03/2025,707505037025219_120220808408680409_120220808408680409_facebook_9.jpeg,
c6,120218428551130197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120218428551130197_120218428551130197_facebook_9.jpeg,,810684,4690.0,"R$ 6.178,63",20/12/2024,16/01/2025,1008236073176348_120218428551130197_120218428551130197_facebook_9.jpeg,
