creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date
movers,120228474295040409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120228474295040409_120228474295040409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120228474295040409_120228474295040409_facebook_9.mp4,8418764,5031.0,"R$ 64.538,54",20/05/2025,05/07/2025
dia-dos-pais,120231510574760750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120231510574760750_120231510574760750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120231510574760750_120231510574760750_facebook_9.mp4,8165285,6560.0,"R$ 62.832,64",22/07/2025,16/08/2025
,120206501108680348,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/557249762645654_120206501108680348_120206501108680348_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/557249762645654_120206501108680348_120206501108680348_facebook_9.mp4,8128978,70.0,"R$ 62.322,53",26/12/2023,28/12/2023
pS5,120228453676240750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120228453676240750_120228453676240750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120228453676240750_120228453676240750_facebook_9.mp4,8061098,5718.0,"R$ 61.172,35",05/06/2025,10/06/2025
hero,120227595231020409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120227595231020409_120227595231020409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120227595231020409_120227595231020409_facebook_9.mp4,8035481,5215.0,"R$ 60.599,66",07/05/2025,01/07/2025
blackfriday-f1,120238324774490409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120238324774490409_120238324774490409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120238324774490409_120238324774490409_facebook_9.mp4,7981933,31297.0,"R$ 60.594,93",03/11/2025,04/12/2025
kv-hero,120230489315410197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120230489315410197_120230489315410197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120230489315410197_120230489315410197_facebook_9.mp4,7872820,44548.0,"R$ 60.163,41",01/06/2025,30/06/2025
blackfriday-f1,120238325465520409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120238325465520409_120238325465520409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120238325465520409_120238325465520409_facebook_9.mp4,7680721,2970.0,"R$ 59.050,08",03/11/2025,02/12/2025
kv-hero,120245557973110197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120245557973110197_120245557973110197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120245557973110197_120245557973110197_facebook_9.mp4,7589386,96864.0,"R$ 58.608,54",09/01/2026,31/01/2026
kv-hero,120218103079150197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120218103079150197_120218103079150197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120218103079150197_120218103079150197_facebook_9.mp4,7528813,103422.0,"R$ 57.841,58",10/12/2024,17/04/2025
s25,120228453854190750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120228453854190750_120228453854190750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120228453854190750_120228453854190750_facebook_9.mp4,7365912,5079.0,"R$ 56.511,45",05/06/2025,10/06/2025
as-abc-25,120215380165800409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120215380165800409_120215380165800409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120215380165800409_120215380165800409_facebook_9.mp4,7342040,6568.0,"R$ 56.444,99",14/10/2024,17/12/2024
kv-hero,120230660525960197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120230660525960197_120230660525960197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120230660525960197_120230660525960197_facebook_9.mp4,7043492,34121.0,"R$ 53.545,38",01/06/2025,30/06/2025
conteudo,120218707427330409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120218707427330409_120218707427330409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120218707427330409_120218707427330409_facebook_9.mp4,6986184,4391.0,"R$ 53.183,08",06/02/2025,02/04/2025
btl,120218129427220197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120218129427220197_120218129427220197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120218129427220197_120218129427220197_facebook_9.mp4,6932292,91850.0,"R$ 52.098,74",10/12/2024,25/01/2025
conteudo,120234293392590409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120234293392590409_120234293392590409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120234293392590409_120234293392590409_facebook_9.mp4,6905437,2073.0,"R$ 51.656,18",19/08/2025,25/09/2025
chegada-praca,120231942972310409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120231942972310409_120231942972310409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120231942972310409_120231942972310409_facebook_9.mp4,6750309,15288.0,"R$ 50.130,99",22/07/2025,30/09/2025
